,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would,"0.712:	 be	
","0.438:	 the	
0.0459:	 space	
0.0429:	 water	
","0.501:	 the	
0.0453:	 heaven	
0.0378:	 his	
","0.439:	 the	
0.0328:	 space	
0.032:	 Venus	
","0.395:	 the	
0.0426:	 Venus	
0.0368:	 Jupiter	
","0.363:	 the	
0.0444:	 Venus	
0.0407:	 water	
","0.412:	 the	
0.0596:	 heaven	
0.039:	 his	
","0.34:	 the	
0.0503:	 Venus	
0.0432:	 Jupiter	
","0.314:	 the	
0.0721:	 Venus	
0.0496:	 Jupiter	
","0.238:	 the	
0.0736:	 Venus	
0.0506:	 Jupiter	
"
I love this app it is sooo much fun and it is sooo,"0.242:	 much	
0.14:	 good	
0.115:	 fun	
","0.192:	 fun	
0.181:	 much	
0.0949:	 good	
","0.181:	 fun	
0.155:	 much	
0.105:	 awesome	
","0.274:	 much	
0.142:	 fun	
0.0798:	 awesome	
","0.222:	 much	
0.182:	 fun	
0.089:	 easy	
","0.227:	 much	
0.173:	 fun	
0.0766:	 good	
","0.285:	 much	
0.161:	 good	
0.103:	 fun	
","0.215:	 fun	
0.158:	 much	
0.107:	 good	
","0.226:	 much	
0.167:	 fun	
0.0899:	 good	
","0.323:	 much	
0.163:	 fun	
0.0724:	 easy	
","0.268:	 much	
0.197:	 fun	
0.0665:	 great	
","0.242:	 much	
0.175:	 good	
0.108:	 fun	
","0.238:	 much	
0.186:	 fun	
0.111:	 good	
","0.27:	 much	
0.201:	 fun	
0.0744:	 good	
","0.372:	 much	
0.175:	 fun	
0.0628:	 good	
","0.342:	 much	
0.147:	 good	
0.0794:	 fun	
","0.284:	 much	
0.222:	 fun	
0.0879:	 good	
","0.314:	 much	
0.219:	 fun	
0.0683:	 good	
","0.423:	 much	
0.105:	 fun	
0.0901:	 good	
"
How low can you go after the water stops rising and the world is burning but,"0.249:	 the	
0.15:	 you	
0.146:	 it	
","0.193:	 the	
0.177:	 it	
0.132:	 you	
","0.172:	 the	
0.158:	 it	
0.122:	 you	
","0.173:	 it	
0.165:	 the	
0.146:	 you	
","0.166:	 it	
0.158:	 the	
0.143:	 you	
","0.182:	 it	
0.163:	 you	
0.145:	 the	
","0.269:	 the	
0.135:	 you	
0.131:	 it	
","0.183:	 the	
0.134:	 it	
0.111:	 you	
","0.162:	 the	
0.142:	 it	
0.126:	 you	
","0.151:	 you	
0.15:	 it	
0.15:	 the	
","0.168:	 you	
0.158:	 it	
0.13:	 the	
","0.242:	 the	
0.107:	 you	
0.0915:	 not	
","0.166:	 the	
0.125:	 not	
0.115:	 it	
","0.147:	 the	
0.127:	 you	
0.125:	 it	
","0.175:	 you	
0.143:	 it	
0.122:	 the	
","0.211:	 the	
0.104:	 not	
0.0981:	 you	
","0.148:	 the	
0.14:	 not	
0.109:	 you	
","0.142:	 you	
0.12:	 it	
0.118:	 the	
","0.132:	 the	
0.11:	 not	
0.0927:	 you	
"
