,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
"Make <mask>, there is no time","0.499:	 sure	
0.209:	 in	
0.0887:	 over	
0.027:	 to	
","0.481:	 on	
0.209:	 in	
0.136:	 from	
0.0634:	 over	
0.0293:	 to	
","0.348:	 on	
0.25:	 in	
0.157:	 from	
0.0962:	 over	
0.0257:	 across	
","0.34:	 on	
0.236:	 in	
0.223:	 from	
0.0813:	 over	
0.0204:	 across	
","0.415:	 on	
0.193:	 in	
0.174:	 from	
0.0857:	 over	
0.0303:	 off	
","0.412:	 on	
0.214:	 in	
0.153:	 from	
0.0903:	 over	
0.0193:	 off	
"
The rain <mask> spain falls mainly on the plain,"0.574:	 and	
0.12:	 of	
0.08:	 on	
0.0488:	 or	
0.0258:	 that	
","0.626:	 and	
0.0726:	 of	
0.0604:	 or	
0.0571:	 on	
0.0423:	 that	
","0.597:	 and	
0.0852:	 of	
0.0687:	 on	
0.0499:	 or	
0.0318:	 that	
","0.682:	 and	
0.0715:	 of	
0.0465:	 on	
0.0394:	 or	
0.02:	 that	
","0.569:	 and	
0.139:	 of	
0.0842:	 on	
0.0294:	 or	
0.0242:	 that	
","0.602:	 and	
0.0941:	 of	
0.0727:	 on	
0.0441:	 or	
0.0425:	 that	
","0.614:	 and	
0.0801:	 of	
0.0703:	 or	
0.0666:	 on	
0.035:	 that	
","0.641:	 and	
0.0654:	 or	
0.0576:	 of	
0.0565:	 on	
0.0376:	 that	
","0.702:	 and	
0.0546:	 of	
0.0477:	 or	
0.0475:	 on	
0.0177:	 the	
","0.664:	 and	
0.0981:	 of	
0.0605:	 on	
0.028:	 or	
0.0157:	 that	
","0.583:	 and	
0.115:	 of	
0.0938:	 on	
0.0327:	 that	
0.0308:	 or	
","0.639:	 and	
0.0759:	 or	
0.0643:	 of	
0.0599:	 on	
0.0333:	 the	
","0.73:	 and	
0.0633:	 or	
0.0405:	 on	
0.0398:	 of	
0.0203:	 the	
","0.69:	 and	
0.0745:	 of	
0.0624:	 on	
0.0339:	 or	
0.0178:	 the	
","0.673:	 and	
0.0804:	 of	
0.0697:	 on	
0.0298:	 or	
0.0206:	 that	
","0.729:	 and	
0.0725:	 or	
0.0452:	 of	
0.0431:	 on	
0.0204:	 the	
","0.706:	 and	
0.0595:	 on	
0.056:	 of	
0.0472:	 or	
0.0211:	 the	
","0.698:	 and	
0.0716:	 on	
0.0614:	 of	
0.0344:	 or	
0.0181:	 that	
","0.706:	 and	
0.0702:	 on	
0.0565:	 of	
0.0544:	 or	
0.0188:	 that	
"
