,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
"Make <mask>, there is no time","0.454:	 sure	
0.0361:	 beer	
","0.201:	 one	
0.154:	 recipe	
0.0895:	 dish	
0.0487:	 bread	
0.035:	 stuff	
","0.145:	 dish	
0.125:	 one	
0.0651:	 recipe	
0.0618:	 bread	
0.0487:	 sauce	
","0.141:	 recipe	
0.132:	 dish	
0.125:	 one	
0.0368:	 beer	
0.0354:	 bread	
","0.237:	 recipe	
0.142:	 dish	
0.136:	 one	
0.0392:	 beer	
0.0313:	 bread	
","0.174:	 dish	
0.151:	 one	
0.15:	 recipe	
0.044:	 bread	
0.0347:	 beer	
","0.201:	 one	
0.145:	 recipe	
0.081:	 dish	
0.0444:	 bread	
0.0345:	 food	
","0.153:	 dish	
0.104:	 one	
0.096:	 recipe	
0.0456:	 bread	
0.0401:	 sauce	
","0.152:	 one	
0.146:	 dish	
0.132:	 recipe	
0.0386:	 beer	
0.0346:	 soup	
","0.195:	 recipe	
0.148:	 dish	
0.127:	 one	
0.0383:	 beer	
0.0367:	 bread	
","0.234:	 one	
0.147:	 recipe	
0.0969:	 dish	
0.0431:	 bread	
0.043:	 food	
","0.168:	 dish	
0.138:	 one	
0.0872:	 recipe	
0.0444:	 beer	
0.0428:	 bread	
","0.141:	 dish	
0.137:	 one	
0.107:	 recipe	
0.0399:	 bread	
0.0384:	 beer	
","0.204:	 one	
0.186:	 recipe	
0.0837:	 dish	
0.0441:	 food	
0.0365:	 bread	
","0.212:	 one	
0.085:	 dish	
0.0765:	 recipe	
0.0492:	 bread	
0.0395:	 food	
"
This fruit is very <mask>,"0.137:	 tasty	
0.0945:	 delicious	
0.0926:	 special	
0.0731:	 sweet	
0.0717:	 good	
","0.151:	 tasty	
0.0981:	 good	
0.0765:	 delicious	
0.0674:	 special	
0.0534:	 sweet	
","0.151:	 tasty	
0.0984:	 good	
0.0777:	 delicious	
0.0729:	 special	
0.0488:	 sweet	
","0.16:	 tasty	
0.121:	 good	
0.0881:	 delicious	
0.0752:	 sweet	
0.0694:	 special	
","0.126:	 tasty	
0.106:	 good	
0.0932:	 special	
0.0752:	 sweet	
0.0697:	 delicious	
","0.129:	 tasty	
0.0921:	 good	
0.0665:	 special	
0.0662:	 delicious	
0.0634:	 sweet	
","0.132:	 tasty	
0.0874:	 delicious	
0.0757:	 sweet	
0.0735:	 special	
0.0671:	 good	
","0.151:	 tasty	
0.0862:	 good	
0.069:	 delicious	
0.0576:	 special	
0.048:	 important	
","0.166:	 tasty	
0.108:	 good	
0.0853:	 delicious	
0.0599:	 sweet	
0.0552:	 special	
","0.125:	 tasty	
0.113:	 good	
0.104:	 sweet	
0.0722:	 delicious	
0.0715:	 special	
","0.105:	 tasty	
0.0889:	 good	
0.0827:	 sweet	
0.0603:	 special	
0.0539:	 delicious	
","0.136:	 tasty	
0.0812:	 delicious	
0.0686:	 special	
0.0665:	 good	
0.058:	 sweet	
","0.165:	 tasty	
0.0923:	 good	
0.0783:	 delicious	
0.0483:	 sweet	
0.0467:	 special	
","0.119:	 tasty	
0.102:	 good	
0.0867:	 sweet	
0.077:	 ripe	
0.0702:	 delicious	
","0.11:	 sweet	
0.0986:	 tasty	
0.0958:	 good	
0.0872:	 ripe	
0.0523:	 delicious	
","0.142:	 tasty	
0.0886:	 delicious	
0.0701:	 good	
0.0684:	 sweet	
0.0579:	 ripe	
","0.118:	 tasty	
0.0899:	 ripe	
0.0873:	 good	
0.0709:	 sweet	
0.0662:	 delicious	
","0.101:	 ripe	
0.0912:	 sweet	
0.0869:	 good	
0.0858:	 tasty	
0.048:	 delicious	
","0.142:	 ripe	
0.0949:	 sweet	
0.0663:	 tasty	
0.0608:	 good	
0.045:	 delicious	
"
I wish I were a <mask>,"0.0803:	 doctor	
0.0718:	 robot	
0.0559:	 man	
0.0511:	 child	
0.0395:	 girl	
","0.0881:	 doctor	
0.0694:	 robot	
0.0559:	 man	
0.0441:	 hero	
0.0395:	 child	
","0.0884:	 robot	
0.0656:	 doctor	
0.0599:	 hero	
0.0531:	 fan	
0.0449:	 man	
","0.101:	 robot	
0.0912:	 hero	
0.056:	 man	
0.0512:	 fan	
0.0493:	 friend	
","0.0799:	 hero	
0.0793:	 doctor	
0.0671:	 friend	
0.0611:	 fan	
0.0467:	 man	
","0.0631:	 doctor	
0.0579:	 man	
0.0508:	 friend	
0.0503:	 fan	
0.046:	 star	
","0.098:	 doctor	
0.0666:	 robot	
0.0613:	 man	
0.0532:	 child	
0.0387:	 girl	
","0.0833:	 doctor	
0.0692:	 robot	
0.0587:	 man	
0.0403:	 hero	
0.0394:	 child	
","0.0921:	 robot	
0.0841:	 hero	
0.055:	 man	
0.0464:	 doctor	
0.0457:	 friend	
","0.115:	 hero	
0.0626:	 friend	
0.0561:	 man	
0.0529:	 doctor	
0.05:	 fan	
","0.0735:	 doctor	
0.069:	 friend	
0.0549:	 man	
0.0528:	 fan	
0.0505:	 hero	
","0.0943:	 doctor	
0.0708:	 robot	
0.0636:	 man	
0.046:	 child	
0.036:	 boy	
","0.0749:	 man	
0.0733:	 robot	
0.0581:	 hero	
0.0566:	 doctor	
0.0313:	 god	
","0.1:	 hero	
0.0584:	 man	
0.0579:	 friend	
0.0542:	 doctor	
0.0504:	 king	
","0.0706:	 hero	
0.068:	 friend	
0.0663:	 man	
0.0513:	 doctor	
0.05:	 star	
","0.0821:	 man	
0.0726:	 robot	
0.0619:	 doctor	
0.0424:	 hero	
0.0381:	 boy	
","0.0808:	 man	
0.0708:	 hero	
0.0689:	 king	
0.0646:	 doctor	
0.0454:	 god	
","0.0697:	 man	
0.0627:	 friend	
0.0586:	 hero	
0.0531:	 doctor	
0.0473:	 king	
","0.111:	 man	
0.0727:	 king	
0.0698:	 doctor	
0.0504:	 god	
0.0397:	 boy	
"
I wish I <mask> a fish,"0.801:	 had	
0.0944:	 were	
0.0508:	 was	
0.00826:	 wanted	
0.00679:	 could	
","0.775:	 had	
0.107:	 were	
0.0514:	 was	
0.00878:	 saw	
0.0082:	 wanted	
","0.785:	 had	
0.101:	 were	
0.0564:	 was	
0.00952:	 saw	
0.00683:	 have	
","0.808:	 had	
0.0738:	 were	
0.0495:	 was	
0.00879:	 wanted	
0.00864:	 saw	
","0.732:	 had	
0.117:	 were	
0.0531:	 was	
0.0125:	 saw	
0.00922:	 knew	
","0.804:	 had	
0.0795:	 were	
0.0385:	 was	
0.0122:	 saw	
0.00915:	 have	
","0.76:	 had	
0.124:	 were	
0.0598:	 was	
0.00782:	 could	
0.00687:	 wanted	
","0.727:	 had	
0.15:	 were	
0.0667:	 was	
0.00957:	 saw	
0.00602:	 wanted	
","0.784:	 had	
0.0952:	 were	
0.0625:	 was	
0.00933:	 saw	
0.00871:	 have	
","0.726:	 had	
0.114:	 were	
0.0612:	 was	
0.0129:	 saw	
0.0101:	 knew	
","0.734:	 had	
0.116:	 were	
0.045:	 was	
0.0176:	 saw	
0.0112:	 knew	
","0.695:	 had	
0.173:	 were	
0.0853:	 was	
0.00693:	 saw	
0.00583:	 could	
","0.738:	 had	
0.136:	 were	
0.0709:	 was	
0.00887:	 saw	
0.00629:	 have	
","0.679:	 had	
0.158:	 were	
0.0756:	 was	
0.0141:	 saw	
0.00925:	 have	
","0.732:	 had	
0.113:	 were	
0.051:	 was	
0.0177:	 saw	
0.0116:	 knew	
","0.703:	 had	
0.163:	 were	
0.0904:	 was	
0.00624:	 saw	
0.00508:	 could	
","0.614:	 had	
0.221:	 were	
0.082:	 was	
0.0128:	 saw	
0.0103:	'd	
","0.688:	 had	
0.155:	 were	
0.0632:	 was	
0.0185:	 saw	
0.0123:	 have	
","0.578:	 had	
0.271:	 were	
0.0845:	 was	
0.0106:	'd	
0.0104:	 saw	
"
I wish I were <mask> fish,"0.526:	 a	
0.325:	 to	
0.0195:	 the	
0.0145:	 like	
0.0141:	 bigger	
","0.672:	 a	
0.113:	 to	
0.0267:	 the	
0.0242:	 more	
0.0239:	 bigger	
","0.698:	 a	
0.088:	 to	
0.0321:	 the	
0.0237:	 more	
0.0172:	 like	
","0.686:	 a	
0.0546:	 to	
0.0423:	 more	
0.0279:	 bigger	
0.0227:	 the	
","0.646:	 a	
0.0661:	 to	
0.0451:	 more	
0.0441:	 bigger	
0.0241:	 better	
","0.667:	 a	
0.103:	 to	
0.0377:	 the	
0.0356:	 more	
0.0184:	 better	
","0.543:	 a	
0.315:	 to	
0.0196:	 the	
0.0153:	 bigger	
0.0144:	 like	
","0.721:	 a	
0.0901:	 to	
0.0318:	 the	
0.0185:	 more	
0.0176:	 like	
","0.719:	 a	
0.0502:	 to	
0.0341:	 more	
0.0314:	 the	
0.0171:	 bigger	
","0.668:	 a	
0.0602:	 more	
0.0423:	 bigger	
0.0354:	 to	
0.0246:	 better	
","0.655:	 a	
0.0686:	 to	
0.0576:	 more	
0.0341:	 the	
0.0272:	 bigger	
","0.604:	 a	
0.255:	 to	
0.0232:	 the	
0.0121:	 bigger	
0.012:	 like	
","0.746:	 a	
0.0457:	 to	
0.0308:	 the	
0.0276:	 more	
0.0173:	 bigger	
","0.706:	 a	
0.0499:	 more	
0.0329:	 to	
0.029:	 bigger	
0.0255:	 the	
","0.667:	 a	
0.0804:	 more	
0.0379:	 to	
0.0315:	 the	
0.0258:	 better	
","0.713:	 a	
0.118:	 to	
0.0235:	 the	
0.0163:	 bigger	
0.0162:	 more	
","0.729:	 a	
0.042:	 more	
0.0302:	 bigger	
0.0292:	 to	
0.0253:	 the	
","0.701:	 a	
0.0662:	 more	
0.0371:	 the	
0.0344:	 to	
0.0214:	 better	
","0.723:	 a	
0.0689:	 to	
0.0394:	 more	
0.0318:	 the	
0.0189:	 bigger	
"
The rain in <mask> falls mainly on the plain,"0.124:	 London	
0.06:	 Barcelona	
0.0582:	 Britain	
0.0506:	 Bangladesh	
0.0385:	 Delhi	
","0.096:	 London	
0.0586:	 Bangladesh	
0.0502:	 Britain	
0.0497:	 Barcelona	
0.0359:	 Delhi	
","0.113:	 London	
0.0612:	 Bangladesh	
0.0514:	 Britain	
0.0447:	 Bangkok	
0.0411:	 Barcelona	
","0.159:	 London	
0.0791:	 Britain	
0.0546:	 Bangladesh	
0.0403:	 Barcelona	
0.0353:	 Manchester	
","0.181:	 London	
0.0737:	 Britain	
0.0428:	 England	
0.0399:	 Barcelona	
0.0366:	 Manchester	
","0.143:	 London	
0.0758:	 Britain	
0.0405:	 Barcelona	
0.0392:	 Bangladesh	
0.0386:	 England	
","0.1:	 London	
0.0569:	 Barcelona	
0.0557:	 Britain	
0.0467:	 Delhi	
0.0422:	 Bangladesh	
","0.0861:	 London	
0.0526:	 Bangladesh	
0.0436:	 Britain	
0.0431:	 Delhi	
0.04:	 Barcelona	
","0.128:	 London	
0.0603:	 Britain	
0.0529:	 Bangladesh	
0.0459:	 Delhi	
0.0388:	 India	
","0.202:	 London	
0.0837:	 Britain	
0.0417:	 Manchester	
0.0407:	 England	
0.0323:	 Barcelona	
","0.177:	 London	
0.0822:	 Britain	
0.0399:	 England	
0.0322:	 Belgium	
0.0309:	 Barcelona	
","0.0944:	 London	
0.0548:	 Delhi	
0.048:	 Britain	
0.0451:	 Barcelona	
0.0446:	 India	
","0.0982:	 London	
0.0547:	 Britain	
0.05:	 Delhi	
0.0465:	 Bangladesh	
0.0426:	 India	
","0.179:	 London	
0.0753:	 Britain	
0.0393:	 Manchester	
0.0357:	 England	
0.0328:	 Toronto	
","0.195:	 London	
0.0956:	 Britain	
0.0383:	 England	
0.0325:	 Manchester	
0.0286:	 France	
","0.106:	 London	
0.0607:	 Delhi	
0.0596:	 Britain	
0.0498:	 India	
0.0352:	 Barcelona	
","0.142:	 London	
0.0711:	 Britain	
0.0367:	 Toronto	
0.0365:	 India	
0.0363:	 Delhi	
","0.18:	 London	
0.0909:	 Britain	
0.0344:	 England	
0.0339:	 Delhi	
0.032:	 Toronto	
","0.152:	 London	
0.0913:	 Britain	
0.0412:	 summer	
0.0399:	 Delhi	
0.0359:	 India	
"
The rain in spain falls mainly on the <mask>,"0.123:	 poor	
0.121:	 trees	
0.069:	 farmers	
0.0574:	 wind	
0.0347:	 farmer	
","0.112:	 trees	
0.11:	 poor	
0.0746:	 farmers	
0.0382:	 wind	
0.0364:	 ground	
","0.118:	 trees	
0.058:	 wind	
0.0547:	 farmers	
0.0531:	 poor	
0.0366:	 farmer	
","0.113:	 poor	
0.0741:	 trees	
0.0738:	 farmers	
0.04:	 farmer	
0.0396:	 wind	
","0.0669:	 trees	
0.0621:	 farmers	
0.0605:	 poor	
0.0467:	 wind	
0.0372:	 rain	
","0.0887:	 poor	
0.0747:	 farmers	
0.0702:	 trees	
0.0654:	 wind	
0.0357:	 rain	
","0.14:	 poor	
0.125:	 trees	
0.0601:	 farmers	
0.0576:	 wind	
0.0351:	 farmer	
","0.14:	 trees	
0.0648:	 poor	
0.0505:	 ground	
0.0496:	 farmers	
0.0455:	 wind	
","0.096:	 trees	
0.0612:	 poor	
0.0509:	 wind	
0.0482:	 ground	
0.0462:	 farmers	
","0.075:	 poor	
0.0557:	 trees	
0.0509:	 farmers	
0.047:	 wind	
0.0456:	 ground	
","0.0699:	 wind	
0.0602:	 poor	
0.0528:	 farmers	
0.0516:	 rain	
0.0511:	 trees	
","0.15:	 trees	
0.0793:	 poor	
0.0641:	 wind	
0.0459:	 farmers	
0.0414:	 ground	
","0.121:	 trees	
0.0722:	 ground	
0.062:	 poor	
0.0415:	 fields	
0.0402:	 wind	
","0.0738:	 trees	
0.0609:	 ground	
0.0506:	 wind	
0.0448:	 fields	
0.0445:	 roof	
","0.0723:	 poor	
0.068:	 wind	
0.0531:	 roof	
0.0506:	 rain	
0.0453:	 ground	
","0.137:	 trees	
0.0726:	 poor	
0.0625:	 ground	
0.0573:	 wind	
0.0408:	 sky	
","0.0941:	 trees	
0.089:	 ground	
0.0586:	 fields	
0.0406:	 wind	
0.0385:	 poor	
","0.0726:	 wind	
0.0567:	 ground	
0.0544:	 trees	
0.0504:	 roof	
0.0485:	 rain	
","0.0824:	 ground	
0.082:	 wind	
0.0779:	 trees	
0.0489:	 poor	
0.0426:	 sky	
"
The rain in spain falls mainly on <mask> plain,"0.611:	 the	
0.0839:	 a	
0.0509:	 flood	
0.0418:	 coastal	
0.0247:	 salt	
","0.801:	 the	
0.0521:	 a	
0.0215:	 flood	
0.0159:	 coastal	
0.0138:	 this	
","0.791:	 the	
0.0679:	 a	
0.035:	 flood	
0.0135:	 this	
0.0116:	 coastal	
","0.767:	 the	
0.0576:	 a	
0.0317:	 flood	
0.0216:	 coastal	
0.0151:	 this	
","0.645:	 the	
0.0848:	 a	
0.0457:	 flood	
0.0286:	 coastal	
0.0168:	 salt	
","0.745:	 the	
0.0861:	 a	
0.0339:	 flood	
0.0122:	 this	
0.0113:	 coastal	
","0.792:	 the	
0.0678:	 a	
0.0203:	 flood	
0.0165:	 coastal	
0.0149:	 this	
","0.876:	 the	
0.0495:	 a	
0.0151:	 this	
0.0125:	 flood	
0.00552:	 coastal	
","0.863:	 the	
0.0542:	 a	
0.0176:	 this	
0.0143:	 flood	
0.00668:	 coastal	
","0.729:	 the	
0.0755:	 a	
0.0323:	 flood	
0.0206:	 coastal	
0.0141:	 this	
","0.73:	 the	
0.106:	 a	
0.0316:	 flood	
0.0119:	 this	
0.0101:	 sea	
","0.865:	 the	
0.0593:	 a	
0.0181:	 this	
0.0111:	 flood	
0.0057:	 coastal	
","0.91:	 the	
0.0381:	 a	
0.0187:	 this	
0.00552:	 flood	
0.00392:	 that	
","0.839:	 the	
0.0666:	 a	
0.0161:	 flood	
0.0157:	 this	
0.00707:	 coastal	
","0.787:	 the	
0.0908:	 a	
0.021:	 flood	
0.0147:	 this	
0.00777:	 sea	
","0.898:	 the	
0.045:	 a	
0.022:	 this	
0.00556:	 flood	
0.00403:	 that	
","0.893:	 the	
0.0485:	 a	
0.0173:	 this	
0.00645:	 flood	
0.00474:	 that	
","0.865:	 the	
0.0748:	 a	
0.0157:	 this	
0.00973:	 flood	
0.00401:	 sea	
","0.897:	 the	
0.0588:	 a	
0.019:	 this	
0.0043:	 that	
0.0041:	 flood	
"
The rain in spain falls mainly <mask> the plain,"0.407:	 on	
0.22:	 from	
0.198:	 in	
0.0473:	 over	
0.0325:	 to	
","0.401:	 on	
0.235:	 in	
0.206:	 from	
0.0492:	 over	
0.0286:	 to	
","0.444:	 on	
0.223:	 from	
0.169:	 in	
0.0457:	 over	
0.0314:	 to	
","0.416:	 on	
0.251:	 in	
0.163:	 from	
0.0519:	 over	
0.0319:	 to	
","0.411:	 on	
0.23:	 in	
0.194:	 from	
0.0454:	 over	
0.0392:	 to	
","0.509:	 on	
0.209:	 in	
0.129:	 from	
0.0405:	 over	
0.0393:	 to	
","0.357:	 on	
0.241:	 from	
0.219:	 in	
0.0532:	 over	
0.0349:	 to	
","0.426:	 on	
0.222:	 from	
0.19:	 in	
0.0477:	 over	
0.0325:	 to	
","0.417:	 on	
0.222:	 in	
0.186:	 from	
0.0491:	 over	
0.0363:	 to	
","0.373:	 on	
0.278:	 in	
0.173:	 from	
0.0475:	 over	
0.0457:	 to	
","0.454:	 on	
0.241:	 in	
0.134:	 from	
0.0581:	 to	
0.0399:	 over	
","0.392:	 on	
0.253:	 from	
0.174:	 in	
0.05:	 over	
0.0387:	 to	
","0.395:	 on	
0.249:	 in	
0.184:	 from	
0.0515:	 over	
0.0372:	 to	
","0.361:	 on	
0.253:	 in	
0.205:	 from	
0.0532:	 to	
0.0433:	 over	
","0.419:	 on	
0.28:	 in	
0.118:	 from	
0.0695:	 to	
0.0392:	 over	
","0.372:	 on	
0.229:	 in	
0.205:	 from	
0.0547:	 over	
0.0434:	 to	
","0.343:	 on	
0.28:	 in	
0.202:	 from	
0.0544:	 to	
0.0436:	 over	
","0.402:	 on	
0.258:	 in	
0.142:	 from	
0.0863:	 to	
0.0348:	 over	
","0.356:	 on	
0.267:	 in	
0.153:	 from	
0.1:	 to	
0.0402:	 over	
"
The rain <mask> spain falls mainly on the plain,"0.458:	 and	
0.149:	 of	
0.0732:	 on	
0.0713:	 that	
0.0423:	 the	
","0.659:	 and	
0.0553:	 of	
0.0488:	 or	
0.0421:	 that	
0.04:	 on	
","0.599:	 and	
0.092:	 of	
0.0578:	 on	
0.0438:	 or	
0.0347:	 the	
","0.624:	 and	
0.103:	 of	
0.0467:	 on	
0.0366:	 or	
0.0292:	 that	
","0.617:	 and	
0.117:	 of	
0.0746:	 on	
0.0253:	 that	
0.0212:	 or	
","0.509:	 and	
0.142:	 of	
0.0799:	 on	
0.0517:	 that	
0.0366:	 or	
","0.554:	 and	
0.088:	 that	
0.0748:	 the	
0.0695:	 of	
0.0379:	 or	
","0.677:	 and	
0.0515:	 or	
0.0489:	 of	
0.0403:	 the	
0.0343:	 on	
","0.617:	 and	
0.0893:	 of	
0.0431:	 on	
0.0368:	 or	
0.0358:	 the	
","0.657:	 and	
0.112:	 of	
0.0509:	 on	
0.0229:	 that	
0.0177:	 or	
","0.524:	 and	
0.149:	 of	
0.0958:	 on	
0.0402:	 that	
0.022:	 the	
","0.604:	 and	
0.0831:	 the	
0.0632:	 of	
0.0452:	 that	
0.0435:	 or	
","0.684:	 and	
0.0499:	 of	
0.0443:	 the	
0.044:	 or	
0.0251:	,	
","0.649:	 and	
0.105:	 of	
0.048:	 on	
0.024:	 the	
0.0201:	 that	
","0.567:	 and	
0.144:	 of	
0.0695:	 on	
0.0348:	 that	
0.0204:	 the	
","0.615:	 and	
0.0963:	 the	
0.0616:	 of	
0.0415:	 that	
0.0363:	 or	
","0.712:	 and	
0.0611:	 of	
0.0315:	 the	
0.0295:	 on	
0.0258:	 that	
","0.566:	 and	
0.133:	 of	
0.0643:	 on	
0.0328:	 the	
0.0291:	 that	
","0.558:	 and	
0.0961:	 of	
0.087:	 the	
0.0649:	 that	
0.0334:	 on	
"
